FLUKE 289,  V1.16,  40810170

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/1/2025 12:16:21 PM,12/2/2025 4:45:15 PM,28:28:54,0:00:26,12388,3944,8853,Motor 2
Max Time,Max,Average,Min,Min Time,Scaling,
12/1/2025 12:19:27 PM,8.855 V DC,4.6733 V DC,0.0203 V DC,12/1/2025 12:16:21 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
73,8.817 V DC,12/1/2025 12:22:12.8,0:00:11.5,12/1/2025 12:22:18.3,8.849 V DC,8.824 V DC,12/1/2025 12:22:20.7,8.748 V DC,Interval,12/1/2025 12:22:24.2
74,8.841 V DC,12/1/2025 12:22:24.2,0:00:13.0,12/1/2025 12:22:26.3,8.849 V DC,8.829 V DC,12/1/2025 12:22:36.1,8.749 V DC,Stable,12/1/2025 12:22:37.2
75,8.725 V DC,12/1/2025 12:22:37.2,0:00:04.3,12/1/2025 12:22:40.5,8.846 V DC,8.817 V DC,12/1/2025 12:22:37.2,8.725 V DC,Stable,12/1/2025 12:22:41.5
76,8.635 V DC,12/1/2025 12:22:41.5,0:00:00.1,12/1/2025 12:22:41.5,8.635 V DC,8.635 V DC,12/1/2025 12:22:41.5,8.635 V DC,Unstable,12/1/2025 12:22:41.6
77,8.740 V DC,12/1/2025 12:22:41.6,0:00:02.9,12/1/2025 12:22:44.5,8.845 V DC,8.819 V DC,12/1/2025 12:22:41.6,8.740 V DC,Stable,12/1/2025 12:22:44.6
78,8.847 V DC,12/1/2025 12:22:44.6,0:00:05.6,12/1/2025 12:22:46.5,8.849 V DC,8.823 V DC,12/1/2025 12:22:47.5,8.742 V DC,Interval,12/1/2025 12:22:50.2
79,8.833 V DC,12/1/2025 12:22:50.2,0:00:07.3,12/1/2025 12:22:53.2,8.847 V DC,8.828 V DC,12/1/2025 12:22:50.8,8.752 V DC,Stable,12/1/2025 12:22:57.5
80,8.687 V DC,12/1/2025 12:22:57.5,0:00:00.1,12/1/2025 12:22:57.5,8.687 V DC,8.687 V DC,12/1/2025 12:22:57.5,8.687 V DC,Unstable,12/1/2025 12:22:57.6
81,8.809 V DC,12/1/2025 12:22:57.6,0:00:05.3,12/1/2025 12:23:01.8,8.844 V DC,8.815 V DC,12/1/2025 12:22:59.9,8.743 V DC,Stable,12/1/2025 12:23:03.0
82,8.721 V DC,12/1/2025 12:23:03.0,0:00:09.8,12/1/2025 12:23:09.1,8.846 V DC,8.822 V DC,12/1/2025 12:23:11.2,8.699 V DC,Stable,12/1/2025 12:23:12.7
83,8.650 V DC,12/1/2025 12:23:12.7,0:00:00.1,12/1/2025 12:23:12.7,8.650 V DC,8.650 V DC,12/1/2025 12:23:12.7,8.650 V DC,Unstable,12/1/2025 12:23:12.8
