FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
4/20/2026 9:14:51 PM,4/21/2026 12:01:51 AM,2:47:00,0:01:00,223,168,57,Motor 17
Max Time,Max,Average,Min,Min Time,Scaling,
4/20/2026 9:15:43 PM,10.143 V DC,9.873 V DC,8.651 V DC,4/20/2026 9:30:46 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
93,9.939 V DC,4/20/2026 22:02:51.0,0:00:59.6,4/20/2026 22:03:14.3,9.944 V DC,9.925 V DC,4/20/2026 22:03:39.3,9.845 V DC,Interval,4/20/2026 22:03:50.5
94,9.894 V DC,4/20/2026 22:03:50.5,0:01:00.1,4/20/2026 22:04:00.2,9.941 V DC,9.922 V DC,4/20/2026 22:03:52.7,9.849 V DC,Interval,4/20/2026 22:04:50.6
95,9.925 V DC,4/20/2026 22:04:50.6,0:01:00.0,4/20/2026 22:04:51.2,9.939 V DC,9.920 V DC,4/20/2026 22:04:59.4,9.843 V DC,Interval,4/20/2026 22:05:50.5
96,9.923 V DC,4/20/2026 22:05:50.5,0:01:00.0,4/20/2026 22:05:51.7,9.937 V DC,9.917 V DC,4/20/2026 22:06:21.4,9.822 V DC,Interval,4/20/2026 22:06:50.5
97,9.932 V DC,4/20/2026 22:06:50.5,0:00:08.8,4/20/2026 22:06:50.8,9.934 V DC,9.915 V DC,4/20/2026 22:06:59.2,9.834 V DC,Stable,4/20/2026 22:06:59.4
98,9.821 V DC,4/20/2026 22:06:59.4,0:00:51.2,4/20/2026 22:07:37.9,9.935 V DC,9.916 V DC,4/20/2026 22:06:59.4,9.821 V DC,Interval,4/20/2026 22:07:50.6
99,9.929 V DC,4/20/2026 22:07:50.6,0:01:00.0,4/20/2026 22:07:51.9,9.935 V DC,9.914 V DC,4/20/2026 22:08:41.1,9.835 V DC,Interval,4/20/2026 22:08:50.5
100,9.929 V DC,4/20/2026 22:08:50.5,0:00:07.7,4/20/2026 22:08:50.7,9.931 V DC,9.911 V DC,4/20/2026 22:08:57.7,9.833 V DC,Stable,4/20/2026 22:08:58.3
101,9.828 V DC,4/20/2026 22:08:58.3,0:00:52.3,4/20/2026 22:09:25.0,9.930 V DC,9.911 V DC,4/20/2026 22:08:58.3,9.828 V DC,Interval,4/20/2026 22:09:50.6
102,9.928 V DC,4/20/2026 22:09:50.6,0:01:00.0,4/20/2026 22:10:09.0,9.929 V DC,9.910 V DC,4/20/2026 22:10:23.0,9.820 V DC,Interval,4/20/2026 22:10:50.5
